0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class_0,class_1,class_2,class_3,class_4
-0.10146702,0.18341309,-0.056504842,-0.015146208,0.081374295,-0.34008548,0.09467414,0.42857483,-0.25112346,-0.07264261,-0.058004737,-0.21630058,0.0026730148,0.09524848,0.1100143,-0.18257895,0.14622654,-0.15706365,-0.037308607,-0.48442653,0.09568816,-0.03039334,0.21804094,-0.10254192,-0.11192214,0.009102278,-0.17148167,-0.057754472,-0.1504005,0.122782,0.28392446,0.037235543,0.122435115,-0.22479406,-0.11140888,0.29773453,-0.04703485,-0.046600856,-0.1703371,-0.38513088,0.07527096,-0.21113396,-0.118252754,0.08338103,0.11533558,-0.14525914,-0.12227333,-0.00016498566,0.07679778,0.1018966,0.10756538,-0.19872232,-0.06555158,0.05814511,-0.10791702,0.03727571,0.03513266,-0.06302312,-0.16783224,0.03714472,0.09517043,-0.020155981,0.117756985,-0.067156315,-0.32070744,0.27274248,0.1787421,0.15035206,-0.36829832,0.23341304,-0.10678904,0.19033323,0.15408877,-0.05235492,0.28570247,0.07723687,0.035064638,-0.030715996,-0.1618729,0.028567694,-0.14616157,0.023361932,-0.19303378,0.24139075,-0.113832384,-0.07636958,0.027197562,0.1619361,0.28207505,0.11152127,0.29619348,0.06232107,0.06016971,0.029986782,0.29187158,0.16786556,0.19119011,-0.13119914,0.11481363,-0.05922303,1,0,0,0,0
-0.12984191,0.23764314,-0.07517629,-0.01725212,0.10825041,-0.43611714,0.12102681,0.5526654,-0.32120305,-0.09238049,-0.073456846,-0.2811767,0.0039720647,0.12775211,0.14267738,-0.23074524,0.19078349,-0.20171817,-0.04903685,-0.62008196,0.122239694,-0.040428393,0.2846557,-0.12481419,-0.14299886,0.01620331,-0.2230852,-0.07473091,-0.19316159,0.15597533,0.36237085,0.049109045,0.15585947,-0.28818506,-0.13975008,0.38583258,-0.05977469,-0.06332898,-0.22086868,-0.49587,0.095478825,-0.2747486,-0.1558186,0.109042786,0.14859587,-0.18430072,-0.15627033,-0.0047543347,0.098711275,0.13173479,0.13951296,-0.2556811,-0.08434463,0.07045403,-0.13796453,0.042653967,0.040774934,-0.08015101,-0.21883312,0.04443012,0.12439205,-0.027772611,0.15436898,-0.0821577,-0.41108063,0.34941173,0.22665048,0.19800788,-0.46838522,0.2991976,-0.13293749,0.24875712,0.20007955,-0.0637894,0.36924177,0.10012489,0.045856528,-0.039074093,-0.20798151,0.029853098,-0.18587266,0.028448015,-0.24970849,0.30713844,-0.14614224,-0.09462753,0.039893147,0.2032194,0.36292976,0.13662228,0.37761226,0.07986255,0.08152133,0.04213217,0.3742733,0.21189581,0.2408763,-0.16974765,0.14996293,-0.07959768,0,1,0,0,0
-0.117802985,0.21690771,-0.06703748,-0.014178364,0.09989309,-0.3995877,0.11043908,0.50675845,-0.29232636,-0.08768816,-0.068831824,-0.2591717,0.005721374,0.114167094,0.129816,-0.2103072,0.17332156,-0.18566129,-0.04431502,-0.56863606,0.109311536,-0.036888704,0.2569194,-0.116359614,-0.12852018,0.012618707,-0.20262568,-0.06660713,-0.17549823,0.14519414,0.33261523,0.04764332,0.14185292,-0.2613637,-0.12948519,0.3565987,-0.0531757,-0.06117942,-0.20134594,-0.45415878,0.087349534,-0.24902686,-0.13905415,0.10043427,0.1318635,-0.16891858,-0.14407021,-0.0031583072,0.09087725,0.11973361,0.13147467,-0.23480414,-0.07659504,0.065094426,-0.1302575,0.039661452,0.03893266,-0.07094934,-0.19752716,0.043363266,0.11116819,-0.024682257,0.14230733,-0.075204045,-0.37722322,0.32000533,0.20885602,0.18014105,-0.43016163,0.27391768,-0.1217056,0.22757885,0.18171819,-0.062432654,0.340654,0.09259508,0.042166267,-0.037321545,-0.18929395,0.032563843,-0.17000052,0.03113264,-0.22633724,0.28030762,-0.13497163,-0.08840881,0.0354854,0.18806297,0.33870664,0.12829657,0.3459725,0.07875235,0.07409664,0.037293743,0.34331515,0.19283086,0.22594278,-0.15543073,0.13856676,-0.072775856,1,0,0,0,0
-0.13463654,0.24892847,-0.08029331,-0.019147577,0.11297219,-0.4546746,0.12902491,0.5779941,-0.3338105,-0.0960395,-0.07679243,-0.2923857,0.005043106,0.1257038,0.14963661,-0.24280909,0.199492,-0.21163669,-0.05624387,-0.6487233,0.12511143,-0.04198019,0.2946011,-0.13736624,-0.14699242,0.014431221,-0.23033081,-0.0802902,-0.19962448,0.16480462,0.3824137,0.05181602,0.1646294,-0.29772565,-0.14813232,0.4062201,-0.061890874,-0.06589284,-0.2285393,-0.5174094,0.09763417,-0.2835425,-0.15695465,0.113382734,0.15418316,-0.18980235,-0.16404468,-4.132568e-05,0.10033563,0.13850833,0.14586513,-0.26835808,-0.089606375,0.073164806,-0.14990324,0.047177117,0.047736213,-0.082589895,-0.22524129,0.04915697,0.12852749,-0.030017832,0.1644203,-0.087455556,-0.43046528,0.3663987,0.23778187,0.20828025,-0.49496678,0.3120941,-0.13955174,0.25949782,0.2094366,-0.06830423,0.3848779,0.10237932,0.048906304,-0.041530266,-0.21919096,0.036102924,-0.19543335,0.030982401,-0.2613657,0.31931835,-0.14875096,-0.10236908,0.041493583,0.21297435,0.38013592,0.14394486,0.39231455,0.0882259,0.086115524,0.042406894,0.39285433,0.22142598,0.25470412,-0.17737754,0.15861252,-0.085680954,0,0,1,0,0
-0.12778288,0.2342115,-0.07472352,-0.019039819,0.105522506,-0.42683977,0.12124874,0.5421135,-0.31401792,-0.089850955,-0.07361552,-0.2767774,0.004330829,0.119771086,0.13821481,-0.2306661,0.18413655,-0.19684799,-0.05036832,-0.61197394,0.1148415,-0.04098747,0.27216244,-0.12552357,-0.13806275,0.011365077,-0.21662258,-0.075781465,-0.18843116,0.15110084,0.35693783,0.048523273,0.15297905,-0.28139502,-0.1408925,0.37593517,-0.0589481,-0.06371475,-0.21262573,-0.4898304,0.09248332,-0.26771018,-0.14715974,0.10705602,0.1423029,-0.18534927,-0.15218167,-0.0034404865,0.09670231,0.12999228,0.13945785,-0.25231987,-0.0798556,0.071013175,-0.1404491,0.045540225,0.04365932,-0.078627616,-0.21348009,0.044898044,0.124057375,-0.029465618,0.15493298,-0.08326389,-0.40515372,0.3455054,0.22198753,0.19339928,-0.46533927,0.29199603,-0.13130972,0.24632443,0.19743513,-0.065777406,0.36502212,0.101753734,0.04685292,-0.036612798,-0.20474786,0.03131074,-0.18092775,0.029636275,-0.24780019,0.30174032,-0.14122105,-0.095866166,0.036824893,0.20064709,0.35832256,0.13873291,0.3726581,0.081675395,0.07892967,0.038346447,0.36972663,0.20792866,0.24126154,-0.16644047,0.15001076,-0.08018707,0,0,1,0,0
-0.11774215,0.21655996,-0.06887763,-0.014952355,0.09944184,-0.3999028,0.11129089,0.50883496,-0.29343903,-0.0839817,-0.06813006,-0.2580744,0.0061106556,0.111467995,0.1298102,-0.21443461,0.17388406,-0.18448016,-0.045372687,-0.5696286,0.11214519,-0.034568764,0.25854623,-0.11787362,-0.12634367,0.012461885,-0.20371273,-0.06679309,-0.17712861,0.14441627,0.33256483,0.045295212,0.1446399,-0.2635846,-0.13087913,0.3567187,-0.054536965,-0.061610427,-0.20270206,-0.45355335,0.08655682,-0.24964002,-0.13949212,0.09990389,0.13239956,-0.16695563,-0.14518672,-0.0034638273,0.08850874,0.11834855,0.13169897,-0.2372875,-0.0782889,0.06258772,-0.129014,0.041335322,0.03876297,-0.07198605,-0.19739676,0.042900585,0.11230422,-0.02603329,0.14312159,-0.07514076,-0.37848333,0.32149523,0.20944415,0.18116894,-0.4336292,0.27524492,-0.12091528,0.22759579,0.18263602,-0.06224678,0.33999842,0.09093027,0.04309197,-0.037214015,-0.1906083,0.03281331,-0.17167528,0.027076028,-0.23213314,0.28183645,-0.13235068,-0.08882801,0.035975236,0.18487121,0.33635446,0.12769035,0.347225,0.07689566,0.074824676,0.03673161,0.34547573,0.19395079,0.22556734,-0.15361926,0.13817793,-0.07407482,0,0,1,0,0
-0.113759935,0.212973,-0.0690595,-0.015457618,0.0966872,-0.39265132,0.11118262,0.5015068,-0.2882624,-0.08245652,-0.066324264,-0.25204226,0.0025644854,0.112017,0.12906025,-0.20469348,0.1710232,-0.18153314,-0.047639474,-0.5601668,0.10904441,-0.035380337,0.2517188,-0.114018,-0.12697397,0.011873818,-0.19807784,-0.06763738,-0.17234875,0.14100556,0.32934365,0.043449428,0.14092366,-0.257812,-0.12781882,0.34937325,-0.05165242,-0.058683205,-0.19646603,-0.4456568,0.08637869,-0.2434447,-0.13876957,0.0997548,0.13379619,-0.16427447,-0.14287837,-0.005814928,0.089884005,0.115756035,0.12671763,-0.23057157,-0.07682418,0.063823216,-0.12540321,0.03689443,0.041168705,-0.071567655,-0.19300151,0.044077948,0.11013192,-0.02684558,0.13962768,-0.0752568,-0.37041333,0.31471395,0.20262969,0.17622773,-0.42352548,0.26761106,-0.11975474,0.22359484,0.17828013,-0.059995126,0.33402455,0.08834831,0.041307203,-0.036243085,-0.1870227,0.032015894,-0.1671908,0.027039556,-0.22246873,0.27585503,-0.12998268,-0.0868737,0.033116464,0.18354772,0.32843214,0.12499874,0.3404096,0.074948125,0.0763898,0.0366121,0.33819458,0.19098902,0.21699719,-0.15250689,0.13655497,-0.071206294,0,0,1,0,0
-0.12544362,0.22972982,-0.072525054,-0.01581922,0.10297333,-0.4281879,0.12081174,0.54119503,-0.3134574,-0.09093653,-0.07268722,-0.27504686,0.0063746674,0.121167,0.13808829,-0.22711748,0.18719728,-0.19940645,-0.04888716,-0.6077745,0.11855282,-0.039583102,0.27387685,-0.12570457,-0.13715242,0.014196457,-0.21795091,-0.07454576,-0.18735392,0.15433559,0.3561444,0.051115002,0.15406963,-0.28013343,-0.1405744,0.37750012,-0.05763628,-0.063407995,-0.21562137,-0.48630822,0.09377538,-0.26637742,-0.14773779,0.1068916,0.1418718,-0.17943475,-0.15525272,-0.0041989526,0.0941425,0.12784413,0.13798785,-0.2502165,-0.08220814,0.06833298,-0.13950719,0.04466662,0.040869523,-0.077663675,-0.21136223,0.04703374,0.12001249,-0.027903087,0.1529833,-0.08235414,-0.40453738,0.344033,0.2215785,0.19210176,-0.46068743,0.2898912,-0.1301048,0.24458946,0.1947851,-0.06536825,0.36200935,0.09879903,0.04440625,-0.036999807,-0.20317525,0.03586651,-0.18045034,0.029818347,-0.24522018,0.3011258,-0.14357622,-0.09486917,0.0395489,0.20074862,0.3607491,0.13640884,0.36806357,0.08370924,0.07860044,0.04023534,0.3679829,0.20600882,0.2413635,-0.16502365,0.14804077,-0.07890327,1,0,0,0,0
-0.09684779,0.17933972,-0.054723978,-0.010986224,0.078716554,-0.32595187,0.093763724,0.41381744,-0.23596147,-0.07144911,-0.055748463,-0.20746006,0.0033753433,0.09510071,0.10622497,-0.17144598,0.14375755,-0.15023704,-0.035713635,-0.4670588,0.09276926,-0.027733551,0.21275541,-0.09494678,-0.1072073,0.008658498,-0.16704574,-0.055837475,-0.14177951,0.11915415,0.27106616,0.034318555,0.114266075,-0.21514341,-0.10897169,0.28817198,-0.04251006,-0.048538916,-0.1627078,-0.36997706,0.0732613,-0.2074763,-0.111816905,0.08184405,0.10949743,-0.13694988,-0.120070115,-0.0047188676,0.07547196,0.09880527,0.104660384,-0.19334508,-0.06388205,0.053071592,-0.101924956,0.032810263,0.034684412,-0.05732165,-0.16286305,0.038913924,0.09400778,-0.024557497,0.11665781,-0.062697805,-0.30823246,0.26230368,0.17183053,0.14968623,-0.35337374,0.22253624,-0.101479955,0.18668547,0.1498542,-0.05256387,0.2789178,0.07373405,0.032455087,-0.03023136,-0.15761642,0.026577184,-0.14327669,0.024823938,-0.1856375,0.23019873,-0.106625356,-0.07321447,0.028423619,0.15152815,0.27416062,0.10386976,0.28255358,0.060044996,0.063828774,0.032944284,0.28401184,0.162411,0.18583795,-0.12696683,0.113555215,-0.061672397,0,1,0,0,0
-0.1051341,0.19770347,-0.06634446,-0.011858405,0.08980185,-0.36787102,0.104402095,0.4683962,-0.27103007,-0.073903814,-0.06196709,-0.235427,0.006755029,0.10507962,0.12171296,-0.19372396,0.15922956,-0.16806975,-0.04176549,-0.5259682,0.10113234,-0.032261178,0.23347862,-0.11029157,-0.118490845,0.013227781,-0.18957432,-0.06382121,-0.16295725,0.13271135,0.31000394,0.044280704,0.13128714,-0.24375813,-0.12313235,0.3281449,-0.054810815,-0.055438917,-0.18634608,-0.42354476,0.078688785,-0.23093206,-0.12539211,0.0934757,0.12289626,-0.15758322,-0.13690163,-0.004406536,0.0821669,0.10958442,0.11855115,-0.21710388,-0.07524932,0.058255896,-0.118615896,0.036815036,0.038271017,-0.07007536,-0.18203382,0.039393988,0.10353923,-0.02420559,0.13142198,-0.06828406,-0.3492731,0.30143178,0.19306046,0.16887258,-0.4026776,0.25239345,-0.11385114,0.20921753,0.16802232,-0.059389405,0.31467888,0.086238995,0.04033234,-0.029937379,-0.17744784,0.02562092,-0.15572326,0.02447847,-0.21356723,0.26096645,-0.119599834,-0.081765085,0.032766268,0.17225556,0.30926797,0.1164513,0.32014146,0.0705789,0.06797293,0.037456974,0.3153258,0.17943785,0.20159523,-0.13914686,0.12914625,-0.066373006,0,0,0,0,1
